"","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Time","Region"
"1","p01",0.744186047,"CS","HT",30,"1",60,160,0.375,"H",600,"200_pre_200_post_word"
"2","p01",0.744186047,"CS","HT",30,"2",80,160,0.5,"L",600,"200_pre_200_post_word"
"3","p01",0.744186047,"CS","HT",31,"1",60,160,0.375,"H",620,"200_pre_200_post_word"
"4","p01",0.744186047,"CS","HT",31,"2",80,160,0.5,"L",620,"200_pre_200_post_word"
"5","p01",0.744186047,"CS","HT",32,"1",60,160,0.375,"H",640,"200_pre_200_post_word"
"6","p01",0.744186047,"CS","HT",32,"2",80,160,0.5,"L",640,"200_pre_200_post_word"
"7","p01",0.744186047,"CS","HT",33,"1",60,160,0.375,"H",660,"200_pre_200_post_word"
"8","p01",0.744186047,"CS","HT",33,"2",66,160,0.4125,"L",660,"200_pre_200_post_word"
"9","p01",0.744186047,"CS","HT",34,"1",60,160,0.375,"H",680,"200_pre_200_post_word"
"10","p01",0.744186047,"CS","HT",34,"2",60,160,0.375,"L",680,"200_pre_200_post_word"
"11","p01",0.744186047,"CS","HT",35,"1",60,160,0.375,"H",700,"200_pre_200_post_word"
"12","p01",0.744186047,"CS","HT",35,"2",60,160,0.375,"L",700,"200_pre_200_post_word"
"13","p01",0.744186047,"CS","HT",36,"1",60,160,0.375,"H",720,"200_pre_200_post_word"
"14","p01",0.744186047,"CS","HT",36,"2",44,160,0.275,"L",720,"200_pre_200_post_word"
"15","p01",0.744186047,"CS","HT",37,"1",56,160,0.35,"H",740,"200_pre_200_post_word"
"16","p01",0.744186047,"CS","HT",37,"2",21,160,0.13125,"L",740,"200_pre_200_post_word"
"17","p01",0.744186047,"CS","HT",38,"1",40,160,0.25,"H",760,"200_pre_200_post_word"
"18","p01",0.744186047,"CS","HT",38,"2",20,160,0.125,"L",760,"200_pre_200_post_word"
"19","p01",0.744186047,"CS","HT",39,"1",40,160,0.25,"H",780,"200_pre_200_post_word"
"20","p01",0.744186047,"CS","HT",39,"2",20,160,0.125,"L",780,"200_pre_200_post_word"
"21","p01",0.744186047,"CS","HT",40,"1",40,160,0.25,"H",800,"200_pre_200_post_word"
"22","p01",0.744186047,"CS","HT",40,"2",53,160,0.33125,"L",800,"200_pre_200_post_word"
"23","p01",0.744186047,"CS","HT",41,"1",20,160,0.125,"H",820,"200_pre_200_post_word"
"24","p01",0.744186047,"CS","HT",41,"2",60,160,0.375,"L",820,"200_pre_200_post_word"
"25","p01",0.744186047,"CS","HT",42,"1",22,160,0.1375,"H",840,"200_pre_200_post_word"
"26","p01",0.744186047,"CS","HT",42,"2",60,160,0.375,"L",840,"200_pre_200_post_word"
"27","p01",0.744186047,"CS","HT",43,"1",40,160,0.25,"H",860,"200_pre_200_post_word"
"28","p01",0.744186047,"CS","HT",43,"2",60,160,0.375,"L",860,"200_pre_200_post_word"
"29","p01",0.744186047,"CS","HT",44,"1",40,160,0.25,"H",880,"200_pre_200_post_word"
"30","p01",0.744186047,"CS","HT",44,"2",79,160,0.49375,"L",880,"200_pre_200_post_word"
"31","p01",0.744186047,"CS","HT",45,"1",40,160,0.25,"H",900,"200_pre_200_post_word"
"32","p01",0.744186047,"CS","HT",45,"2",95,160,0.59375,"L",900,"200_pre_200_post_word"
"33","p01",0.744186047,"CS","HT",46,"1",40,160,0.25,"H",920,"200_pre_200_post_word"
"34","p01",0.744186047,"CS","HT",46,"2",80,160,0.5,"L",920,"200_pre_200_post_word"
"35","p01",0.744186047,"CS","HT",47,"1",40,160,0.25,"H",940,"200_pre_200_post_word"
"36","p01",0.744186047,"CS","HT",47,"2",80,160,0.5,"L",940,"200_pre_200_post_word"
"37","p01",0.744186047,"CS","HT",48,"1",40,160,0.25,"H",960,"200_pre_200_post_word"
"38","p01",0.744186047,"CS","HT",48,"2",69,160,0.43125,"L",960,"200_pre_200_post_word"
"39","p01",0.744186047,"CS","HT",49,"1",40,160,0.25,"H",980,"200_pre_200_post_word"
"40","p01",0.744186047,"CS","HT",49,"2",60,160,0.375,"L",980,"200_pre_200_post_word"
"41","p01",0.744186047,"CS","HT",50,"1",40,160,0.25,"H",1000,"200_pre_200_post_word"
"42","p01",0.744186047,"CS","HT",50,"2",60,160,0.375,"L",1000,"200_pre_200_post_word"
"43","p01",0.744186047,"CS","LT",30,"1",60,160,0.375,"L",600,"200_pre_200_post_word"
"44","p01",0.744186047,"CS","LT",30,"2",80,160,0.5,"H",600,"200_pre_200_post_word"
"45","p01",0.744186047,"CS","LT",31,"1",52,160,0.325,"L",620,"200_pre_200_post_word"
"46","p01",0.744186047,"CS","LT",31,"2",80,160,0.5,"H",620,"200_pre_200_post_word"
"47","p01",0.744186047,"CS","LT",32,"1",43,160,0.26875,"L",640,"200_pre_200_post_word"
"48","p01",0.744186047,"CS","LT",32,"2",97,160,0.60625,"H",640,"200_pre_200_post_word"
"49","p01",0.744186047,"CS","LT",33,"1",40,160,0.25,"L",660,"200_pre_200_post_word"
"50","p01",0.744186047,"CS","LT",33,"2",92,160,0.575,"H",660,"200_pre_200_post_word"
"51","p01",0.744186047,"CS","LT",34,"1",40,160,0.25,"L",680,"200_pre_200_post_word"
"52","p01",0.744186047,"CS","LT",34,"2",103,160,0.64375,"H",680,"200_pre_200_post_word"
"53","p01",0.744186047,"CS","LT",35,"1",40,160,0.25,"L",700,"200_pre_200_post_word"
"54","p01",0.744186047,"CS","LT",35,"2",116,160,0.725,"H",700,"200_pre_200_post_word"
"55","p01",0.744186047,"CS","LT",36,"1",40,160,0.25,"L",720,"200_pre_200_post_word"
"56","p01",0.744186047,"CS","LT",36,"2",100,160,0.625,"H",720,"200_pre_200_post_word"
"57","p01",0.744186047,"CS","LT",37,"1",40,160,0.25,"L",740,"200_pre_200_post_word"
"58","p01",0.744186047,"CS","LT",37,"2",100,160,0.625,"H",740,"200_pre_200_post_word"
"59","p01",0.744186047,"CS","LT",38,"1",45,160,0.28125,"L",760,"200_pre_200_post_word"
"60","p01",0.744186047,"CS","LT",38,"2",100,160,0.625,"H",760,"200_pre_200_post_word"
"61","p01",0.744186047,"CS","LT",39,"1",56,160,0.35,"L",780,"200_pre_200_post_word"
"62","p01",0.744186047,"CS","LT",39,"2",100,160,0.625,"H",780,"200_pre_200_post_word"
"63","p01",0.744186047,"CS","LT",40,"1",40,160,0.25,"L",800,"200_pre_200_post_word"
"64","p01",0.744186047,"CS","LT",40,"2",91,160,0.56875,"H",800,"200_pre_200_post_word"
"65","p01",0.744186047,"CS","LT",41,"1",40,160,0.25,"L",820,"200_pre_200_post_word"
"66","p01",0.744186047,"CS","LT",41,"2",80,160,0.5,"H",820,"200_pre_200_post_word"
"67","p01",0.744186047,"CS","LT",42,"1",40,160,0.25,"L",840,"200_pre_200_post_word"
"68","p01",0.744186047,"CS","LT",42,"2",80,160,0.5,"H",840,"200_pre_200_post_word"
"69","p01",0.744186047,"CS","LT",43,"1",55,160,0.34375,"L",860,"200_pre_200_post_word"
"70","p01",0.744186047,"CS","LT",43,"2",80,160,0.5,"H",860,"200_pre_200_post_word"
"71","p01",0.744186047,"CS","LT",44,"1",60,160,0.375,"L",880,"200_pre_200_post_word"
"72","p01",0.744186047,"CS","LT",44,"2",80,160,0.5,"H",880,"200_pre_200_post_word"
