"","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","pair_num","target_freq","distractor_freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Region"
"1","p01",0.744186047,"CS","HT",1,4.477,1.386,620,2,20,20,1,"L","200_pre_200_post_word"
"2","p01",0.744186047,"CS","HT",1,4.477,1.386,640,2,20,20,1,"L","200_pre_200_post_word"
"3","p01",0.744186047,"CS","HT",1,4.477,1.386,660,2,20,20,1,"L","200_pre_200_post_word"
"4","p01",0.744186047,"CS","HT",1,4.477,1.386,680,2,20,20,1,"L","200_pre_200_post_word"
"5","p01",0.744186047,"CS","HT",1,4.477,1.386,700,2,20,20,1,"L","200_pre_200_post_word"
"6","p01",0.744186047,"CS","HT",1,4.477,1.386,720,2,4,20,0.2,"L","200_pre_200_post_word"
"7","p01",0.744186047,"CS","HT",1,4.477,1.386,840,1,2,20,0.1,"H","200_pre_200_post_word"
"8","p01",0.744186047,"CS","HT",1,4.477,1.386,860,1,20,20,1,"H","200_pre_200_post_word"
"9","p01",0.744186047,"CS","HT",1,4.477,1.386,880,1,20,20,1,"H","200_pre_200_post_word"
"10","p01",0.744186047,"CS","HT",1,4.477,1.386,900,1,20,20,1,"H","200_pre_200_post_word"
"11","p01",0.744186047,"CS","HT",1,4.477,1.386,920,1,20,20,1,"H","200_pre_200_post_word"
"12","p01",0.744186047,"CS","HT",1,4.477,1.386,940,1,20,20,1,"H","200_pre_200_post_word"
"13","p01",0.744186047,"CS","HT",1,4.477,1.386,960,1,20,20,1,"H","200_pre_200_post_word"
"14","p01",0.744186047,"CS","HT",1,4.477,1.386,980,1,20,20,1,"H","200_pre_200_post_word"
"15","p01",0.744186047,"CS","HT",1,4.477,1.386,1000,1,20,20,1,"H","200_pre_200_post_word"
"16","p01",0.744186047,"CS","HT",2,4.127,0.693,900,2,15,20,0.75,"L","200_pre_200_post_word"
"17","p01",0.744186047,"CS","HT",3,5.1,2.303,620,2,20,20,1,"L","200_pre_200_post_word"
"18","p01",0.744186047,"CS","HT",3,5.1,2.303,640,2,20,20,1,"L","200_pre_200_post_word"
"19","p01",0.744186047,"CS","HT",3,5.1,2.303,660,2,20,20,1,"L","200_pre_200_post_word"
"20","p01",0.744186047,"CS","HT",3,5.1,2.303,680,2,20,20,1,"L","200_pre_200_post_word"
"21","p01",0.744186047,"CS","HT",3,5.1,2.303,700,2,20,20,1,"L","200_pre_200_post_word"
"22","p01",0.744186047,"CS","HT",3,5.1,2.303,720,2,20,20,1,"L","200_pre_200_post_word"
"23","p01",0.744186047,"CS","HT",3,5.1,2.303,740,2,20,20,1,"L","200_pre_200_post_word"
"24","p01",0.744186047,"CS","HT",3,5.1,2.303,760,2,20,20,1,"L","200_pre_200_post_word"
"25","p01",0.744186047,"CS","HT",3,5.1,2.303,780,2,20,20,1,"L","200_pre_200_post_word"
"26","p01",0.744186047,"CS","HT",3,5.1,2.303,800,2,20,20,1,"L","200_pre_200_post_word"
"27","p01",0.744186047,"CS","HT",3,5.1,2.303,820,2,20,20,1,"L","200_pre_200_post_word"
"28","p01",0.744186047,"CS","HT",3,5.1,2.303,840,2,20,20,1,"L","200_pre_200_post_word"
"29","p01",0.744186047,"CS","HT",3,5.1,2.303,860,2,20,20,1,"L","200_pre_200_post_word"
"30","p01",0.744186047,"CS","HT",3,5.1,2.303,880,2,20,20,1,"L","200_pre_200_post_word"
"31","p01",0.744186047,"CS","HT",3,5.1,2.303,900,2,20,20,1,"L","200_pre_200_post_word"
"32","p01",0.744186047,"CS","HT",3,5.1,2.303,920,2,20,20,1,"L","200_pre_200_post_word"
"33","p01",0.744186047,"CS","HT",3,5.1,2.303,940,2,20,20,1,"L","200_pre_200_post_word"
"34","p01",0.744186047,"CS","HT",3,5.1,2.303,960,2,9,20,0.45,"L","200_pre_200_post_word"
"35","p01",0.744186047,"CS","HT",4,4.984,1.945910149,620,1,20,20,1,"H","200_pre_200_post_word"
"36","p01",0.744186047,"CS","HT",4,4.984,1.945910149,640,1,20,20,1,"H","200_pre_200_post_word"
"37","p01",0.744186047,"CS","HT",4,4.984,1.945910149,660,1,20,20,1,"H","200_pre_200_post_word"
"38","p01",0.744186047,"CS","HT",4,4.984,1.945910149,680,1,20,20,1,"H","200_pre_200_post_word"
"39","p01",0.744186047,"CS","HT",4,4.984,1.945910149,700,1,20,20,1,"H","200_pre_200_post_word"
"40","p01",0.744186047,"CS","HT",4,4.984,1.945910149,720,1,20,20,1,"H","200_pre_200_post_word"
"41","p01",0.744186047,"CS","HT",4,4.984,1.945910149,740,1,20,20,1,"H","200_pre_200_post_word"
"42","p01",0.744186047,"CS","HT",4,4.984,1.945910149,760,1,20,20,1,"H","200_pre_200_post_word"
"43","p01",0.744186047,"CS","HT",4,4.984,1.945910149,780,1,20,20,1,"H","200_pre_200_post_word"
"44","p01",0.744186047,"CS","HT",4,4.984,1.945910149,800,1,20,20,1,"H","200_pre_200_post_word"
"45","p01",0.744186047,"CS","HT",4,4.984,1.945910149,880,2,19,20,0.95,"L","200_pre_200_post_word"
"46","p01",0.744186047,"CS","HT",4,4.984,1.945910149,900,2,20,20,1,"L","200_pre_200_post_word"
"47","p01",0.744186047,"CS","HT",4,4.984,1.945910149,920,2,20,20,1,"L","200_pre_200_post_word"
"48","p01",0.744186047,"CS","HT",4,4.984,1.945910149,940,2,20,20,1,"L","200_pre_200_post_word"
"49","p01",0.744186047,"CS","HT",4,4.984,1.945910149,960,2,20,20,1,"L","200_pre_200_post_word"
"50","p01",0.744186047,"CS","HT",4,4.984,1.945910149,980,2,20,20,1,"L","200_pre_200_post_word"
"51","p01",0.744186047,"CS","HT",4,4.984,1.945910149,1000,2,20,20,1,"L","200_pre_200_post_word"
"52","p01",0.744186047,"CS","HT",5,5.333,1.609,620,1,20,20,1,"H","200_pre_200_post_word"
"53","p01",0.744186047,"CS","HT",5,5.333,1.609,640,1,20,20,1,"H","200_pre_200_post_word"
"54","p01",0.744186047,"CS","HT",5,5.333,1.609,660,1,20,20,1,"H","200_pre_200_post_word"
"55","p01",0.744186047,"CS","HT",5,5.333,1.609,680,1,20,20,1,"H","200_pre_200_post_word"
"56","p01",0.744186047,"CS","HT",5,5.333,1.609,700,1,20,20,1,"H","200_pre_200_post_word"
"57","p01",0.744186047,"CS","HT",5,5.333,1.609,720,1,20,20,1,"H","200_pre_200_post_word"
"58","p01",0.744186047,"CS","HT",5,5.333,1.609,740,1,16,20,0.8,"H","200_pre_200_post_word"
"59","p01",0.744186047,"CS","HT",5,5.333,1.609,800,2,14,20,0.7,"L","200_pre_200_post_word"
"60","p01",0.744186047,"CS","HT",5,5.333,1.609,820,2,20,20,1,"L","200_pre_200_post_word"
"61","p01",0.744186047,"CS","HT",5,5.333,1.609,840,2,20,20,1,"L","200_pre_200_post_word"
"62","p01",0.744186047,"CS","HT",5,5.333,1.609,860,2,20,20,1,"L","200_pre_200_post_word"
"63","p01",0.744186047,"CS","HT",5,5.333,1.609,880,2,20,20,1,"L","200_pre_200_post_word"
"64","p01",0.744186047,"CS","HT",5,5.333,1.609,900,2,20,20,1,"L","200_pre_200_post_word"
"65","p01",0.744186047,"CS","HT",5,5.333,1.609,920,2,20,20,1,"L","200_pre_200_post_word"
"66","p01",0.744186047,"CS","HT",5,5.333,1.609,940,2,20,20,1,"L","200_pre_200_post_word"
"67","p01",0.744186047,"CS","HT",5,5.333,1.609,960,2,20,20,1,"L","200_pre_200_post_word"
"68","p01",0.744186047,"CS","HT",5,5.333,1.609,980,2,20,20,1,"L","200_pre_200_post_word"
"69","p01",0.744186047,"CS","HT",5,5.333,1.609,1000,2,20,20,1,"L","200_pre_200_post_word"
"70","p01",0.744186047,"CS","HT",6,4.431,1.609,620,1,20,20,1,"H","200_pre_200_post_word"
"71","p01",0.744186047,"CS","HT",6,4.431,1.609,640,1,20,20,1,"H","200_pre_200_post_word"
"72","p01",0.744186047,"CS","HT",6,4.431,1.609,660,1,20,20,1,"H","200_pre_200_post_word"
"73","p01",0.744186047,"CS","HT",6,4.431,1.609,680,1,20,20,1,"H","200_pre_200_post_word"
"74","p01",0.744186047,"CS","HT",6,4.431,1.609,700,1,20,20,1,"H","200_pre_200_post_word"
"75","p01",0.744186047,"CS","HT",6,4.431,1.609,720,1,20,20,1,"H","200_pre_200_post_word"
"76","p01",0.744186047,"CS","HT",6,4.431,1.609,740,1,20,20,1,"H","200_pre_200_post_word"
