Image_Target_eng	targetv_eng	List_eng	Condition_eng	Blocks_eng	Pair_num_eng	CS_Onset_eng	Crit_period_eng	Frame_duration_eng	Target_Syl_eng	Target_Freq_eng	Target_RT_eng	gender_sp_values_eng	cognate_eng	Image_Target_sp	targetv_sp	List_sp	Condition_sp	Blocks_sp	Pair_num_sp	CS_Onset_sp	Crit_period_sp	Frame_duration_sp	Target_Syl_sp	Target_Freq_sp	Target_RT_sp	gender_sp_values_sp	cognate_sp
dress.jpg	dress	1	CS_HT	11	1	897	829	1726	1	4.477	840	m	NA	dress.jpg	vestido	3	S_HT	2	1	880	1074	1954	3	5.136	887	m	NA
shirt.jpg	shirt	1	CS_HT	5	2	897	829	1726	1	4.127	1272	f	NA	shirt.jpg	camisa	3	S_HT	3	2	816	1047	1863	3	4.804	1258	f	NA
fish.jpg	fish	1	CS_HT	10	3	927	841	1768	1	5.1	777	m	NA	fish.jpg	pez	3	S_HT	10	3	940	927	1867	1	4.094	980	m	NA
511glass.jpg	511glass	1	CS_HT	1	4	927	841	1768	1	4.984	942	f	NA	511glass.jpg	copa	3	S_HT	5	4	924	970	1894	2	4.828	859	f	NA
letter.jpg	letter	1	CS_HT	9	5	927	841	1768	2	5.333	988	f	NA	letter.jpg	carta	3	S_HT	3	5	924	970	1894	2	5.429	1125	f	NA
soldier.jpg	soldier	1	CS_HT	5	6	897	829	1726	2	4.431	1324	m	c	soldier.jpg	soldado	3	S_HT	7	6	880	1074	1954	3	4.159	1009	m	c
roof.jpg	roof	1	CS_HT	3	7	897	829	1726	1	4.043	1092	m	NA	roof.jpg	techo	3	S_HT	9	7	880	1074	1954	2	4.7	1325	m	NA
box.jpg	box	1	CS_HT	8	8	897	829	1726	1	4.635	753	f	NA	box.jpg	caja	3	S_HT	3	8	816	1047	1863	2	4.796	933	f	NA
bridge.jpg	bridge	2	CS_HT	4	9	897	829	1726	1	4.205	860	m	NA	bridge.jpg	puente	4	S_HT	3	9	880	1074	1954	2	4.419	1010	m	NA
picture.jpg	picture	2	CS_HT	8	10	927	841	1768	2	5.165	1022	m	NA	picture.jpg	cuadro	4	S_HT	2	10	940	927	1867	1	5.017	1253	m	NA
bottle.jpg	bottle	2	CS_HT	11	11	897	829	1726	2	4.762	990	f	c	bottle.jpg	botella	4	S_HT	5	11	816	1047	1863	3	4.754	870	f	c
king.jpg	king	2	CS_HT	3	12	897	829	1726	1	4.605	898	m	NA	king.jpg	rey	4	S_HT	2	12	880	1074	1954	1	5.737	919	m	NA
road.jpg	road	2	CS_HT	7	13	927	841	1768	1	5.521	981	f	NA	road.jpg	carretera	4	S_HT	3	13	924	970	1894	4	4.394	1070	f	NA
radio.jpg	radio	2	CS_HT	1	14	927	841	1768	3	4.489	1072	m	c	radio.jpg	radios	4	S_HT	6	14	940	927	1867	2	5.017	1155	m	c
rain.jpg	rain	2	CS_HT	10	15	897	727	1624	1	4.29	941	f	NA	rain.jpg	lluvia	4	S_HT	7	15	880	758	1638	2	5.257	1006	f	NA
rock.jpg	rock	2	CS_HT	2	16	927	841	1768	1	4.762	912	f	NA	rock.jpg	piedra	4	S_HT	4	16	924	970	1894	2	5.182	971	f	NA
city.jpg	city	3	CS_HT	7	17	927	841	1768	2	5.553	1165	f	c	city.jpg	ciudad	1	S_HT	3	17	924	970	1894	2	6.498	1299	f	c
glass.jpg	glass	3	CS_HT	2	18	927	841	1768	1	4.984	838	m	NA	glass.jpg	vaso	1	S_HT	2	18	940	927	1867	2	4.787	722	m	NA
bag.jpg	bag	3	CS_HT	12	19	897	829	1726	1	4.394	951	f	NA	bag.jpg	bolsa	1	S_HT	7	19	816	1047	1863	2	4.205	977	f	NA
boat.jpg	boat	3	CS_HT	12	20	897	829	1726	1	4.344	982	m	NA	boat.jpg	barco	1	S_HT	6	20	880	1074	1954	2	4.654	959	m	NA
boy.jpg	boy	3	CS_HT	4	21	927	841	1768	1	5.858	964	m	NA	boy.jpg	nino	1	S_HT	1	21	940	927	1867	2	6.397	949	m	NA
