"","Time","X1","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","pair_num","target_freq","distractor_freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Region","ot1","ot2","ot3","ot4","ot5","DELE.MELICET_","Prop_cs","DELE.MELICET_cs","Bins_cs"
"1",620,1,"p01",0.744186047,"CS","HT",1,4.477,1.386,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,0.271629076368709,-1.67692980419354
"2",620,11663,"p26",0.795454545,"S","LT",8,1.386,4.796,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,0.580980529963997,-1.67692980419354
"3",620,1096,"p03",0.857142857,"CS","LT",27,1.099,4.466,620,1,9,20,0.45,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,-2.92961010403395,0.9532045999385,-1.67692980419354
"4",620,4377,"p09",0.642857143,"S","HT",22,5.68,1.609,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,-0.339784266452793,-1.67692980419354
"5",620,10937,"p25",0.71,"CS","LT",14,1.792,4.489,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.71,0.292792864143409,0.0653522446946683,-1.67692980419354
"6",620,6321,"p14",0.625,"S","HT",25,4.682,0.693,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,-0.447533339657725,-1.67692980419354
"7",620,5473,"p11",0.5,"S","LT",9,0.693,4.419,620,2,3,20,0.15,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,-4.68728445031252,-1.2017768460583,-1.67692980419354
"8",620,12034,"p27",1.025,"S","LT",10,1.792,5.017,620,1,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,1.96604588082413,-1.67692980419354
"9",620,8026,"p18",0.583333333,"S","HT",30,7.584,1.099,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,-0.698947843802567,-1.67692980419354
"10",620,3290,"p07",0.714285714,"S","HT",5,5.429,1.792,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,0.0912120203329887,-1.67692980419354
"11",620,12400,"p28",0.673913043,"S","HT",12,5.737,1.099,620,2,7,20,0.35,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,-3.51550155279347,-0.152394579169387,-1.67692980419354
"12",620,740,"p02",0.708333333,"S","HT",28,5.787,0.693,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,0.0552956625980115,-1.67692980419354
"13",620,6694,"p16",0.553191489,"CS","HT",28,5.303,1.609,620,2,8,20,0.4,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,-3.22255582841371,-0.880822164666081,-1.67692980419354
"14",620,1471,"p04",0.918918919,"CS","HT",26,4.025,0.693,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,1.3259581488545,-1.67692980419354
"15",620,2201,"p05",0.954545455,"S","HT",22,5.68,1.609,620,1,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,1.54092681632287,-1.67692980419354
"16",620,8762,"p20",0.446808511,"S","HT",14,5.017,1.946,620,1,4,20,0.2,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,-4.39433872593276,-1.52273152745053,-1.67692980419354
"17",620,17,"p01",0.744186047,"CS","HT",3,5.1,2.303,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,0.271629076368709,-1.67692980419354
"18",620,9858,"p23",0.520833333,"CS","HT",19,4.394,0.693,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,-1.07606959700286,-1.67692980419354
"19",620,8400,"p19",0.604651163,"S","HT",8,4.796,1.386,620,2,20,20,1,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,-0.570317165018156,-1.67692980419354
"20",620,1113,"p03",0.857142857,"CS","LT",28,1.609,5.303,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,0.9532045999385,-1.67692980419354
"21",620,1599,"p04",0.918918919,"CS","LT",2,0.693,4.127,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,NA,0.292792864143409,1.3259581488545,-1.67692980419354
"22",620,10955,"p25",0.71,"CS","LT",15,0.693,4.29,620,2,20,20,1,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.71,0.292792864143409,0.0653522446946683,-1.67692980419354
