"","Time","X","RECORDING_SESSION_LABEL","DELE.MELICET","language","freq","Bins","Look","Counts","Total","Prop","Freq_of_fixated_item","Region","ot1","ot2","ot3","ot4","ot5","Prop_cs","DELE.MELICET_cs","Bins_cs","dominance_cat","language_cont"
"1",620,3,"p01",0.744186047,"CS","HT",31,1,60,160,0.375,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.107146140453825,0.196744546238099,-1.64595212191617,"SpDom",0.5
"2",620,4,"p01",0.744186047,"CS","HT",31,2,80,160,0.5,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.828626125473343,0.196744546238099,-1.64595212191617,"SpDom",0.5
"3",620,3447,"p23",0.520833333,"S","HT",31,2,20,160,0.125,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-1.33581382958521,-1.12195554527404,-1.64595212191617,"EngDom",-0.5
"4",620,2301,"p16",0.553191489,"S","HT",31,1,60,160,0.375,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.107146140453825,-0.930909273598274,-1.64595212191617,"EngDom",-0.5
"5",620,2302,"p16",0.553191489,"S","HT",31,2,80,160,0.5,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.828626125473343,-0.930909273598274,-1.64595212191617,"EngDom",-0.5
"6",620,3194,"p22",0.714285714,"CS","HT",31,1,78,160,0.4875,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.756478126971391,0.0202095440113357,-1.64595212191617,"SpDom",0.5
"7",620,3068,"p21",0.777777778,"CS","LT",31,1,58,160,0.3625,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.0349981419518726,0.395073986478307,-1.64595212191617,"SpDom",0.5
"8",620,3069,"p21",0.777777778,"CS","LT",31,2,9,160,0.05625,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-1.73262782134595,0.395073986478307,-1.64595212191617,"SpDom",0.5
"9",620,1925,"p12",0.409090909,"S","LT",31,1,40,140,0.285714285714286,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.408196705988687,-1.78169565819064,-1.64595212191617,"EngDom",-0.5
"10",620,1926,"p12",0.409090909,"S","LT",31,2,79,140,0.564285714285714,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,1.19967297491195,-1.78169565819064,-1.64595212191617,"EngDom",-0.5
"11",620,1841,"p12",0.409090909,"CS","LT",31,1,80,160,0.5,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.828626125473343,-1.78169565819064,-1.64595212191617,"EngDom",0.5
"12",620,1842,"p12",0.409090909,"CS","LT",31,2,50,160,0.3125,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.253593852055935,-1.78169565819064,-1.64595212191617,"EngDom",0.5
"13",620,4264,"p28",0.673913043,"S","LT",31,1,40,160,0.25,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.614333844565694,-0.218155345265494,-1.64595212191617,"EngDom",-0.5
"14",620,4265,"p28",0.673913043,"S","LT",31,2,80,160,0.5,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.828626125473343,-0.218155345265494,-1.64595212191617,"EngDom",-0.5
"15",620,3601,"p24",0.642857143,"S","HT",31,2,40,160,0.25,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.614333844565694,-0.401512947859891,-1.64595212191617,"EngDom",-0.5
"16",620,3843,"p26",0.795454545,"CS","HT",31,1,40,160,0.25,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.614333844565694,0.499439650289039,-1.64595212191617,"SpDom",0.5
"17",620,3844,"p26",0.795454545,"CS","HT",31,2,80,160,0.5,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,0.828626125473343,0.499439650289039,-1.64595212191617,"SpDom",0.5
"18",620,786,"p05",0.954545455,"S","LT",31,1,46,160,0.2875,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.397889849059839,1.43873066591444,-1.64595212191617,"SpDom",-0.5
"19",620,787,"p05",0.954545455,"S","LT",31,2,40,160,0.25,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.614333844565694,1.43873066591444,-1.64595212191617,"SpDom",-0.5
"20",620,702,"p05",0.954545455,"CS","LT",31,1,100,160,0.625,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,1.55010611049286,1.43873066591444,-1.64595212191617,"SpDom",0.5
"21",620,703,"p05",0.954545455,"CS","LT",31,2,40,160,0.25,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.614333844565694,1.43873066591444,-1.64595212191617,"SpDom",0.5
"22",620,3990,"p27",1.025,"CS","HT",31,1,44,160,0.275,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.47003784756179,1.85470239634502,-1.64595212191617,"SpDom",0.5
"23",620,1811,"p12",0.409090909,"CS","HT",31,1,40,160,0.25,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.614333844565694,-1.78169565819064,-1.64595212191617,"EngDom",0.5
"24",620,1685,"p11",0.5,"CS","LT",31,1,20,160,0.125,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-1.33581382958521,-1.24495793750646,-1.64595212191617,"EngDom",0.5
"25",620,1686,"p11",0.5,"CS","LT",31,2,109,160,0.68125,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,1.87477210375165,-1.24495793750646,-1.64595212191617,"EngDom",0.5
"26",620,1560,"p10",0.477272727,"S","HT",31,1,30,140,0.214285714285714,"H","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.820470983142701,-1.37914236915353,-1.64595212191617,"EngDom",-0.5
"27",620,1561,"p10",0.477272727,"S","HT",31,2,40,140,0.285714285714286,"L","200_pre_200_post_word",-0.368394198806504,0.43019174220914,-0.437609387793024,0.405147567067942,-0.346947648511203,-0.408196705988687,-1.37914236915353,-1.64595212191617,"EngDom",-0.5
